,Unnamed: 0,Unnamed: 0.1,Position,PC,EPC,Wastage,Variance,Checkers,6,5,4,3,2,1,CG,Description,Matussek,7N+1,EPC - 7N+1,Ace+Deuce,A+D/2+T/4,REPC,ODD C,AdjCG,REPC?,Double0,PREDICTION,High,Medium,Low,Rollish,acedeuce
0,0,0,000001E,1.0,8.2,7.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Rollish,,8.0,0.2,1.0,1.0,,1.0,0.5,,False,,False,False,False,True,1.0
1,1,1,000010E,2.0,8.2,6.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Rollish,,8.0,0.2,1.0,0.5,,1.0,1.5,,False,,False,False,False,True,1.0
2,2,2,000002D,2.0,8.2,6.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Rollish,,8.0,0.2,2.0,2.0,,0.0,1.0,,False,,False,False,False,True,2.0
3,3,3,000100E,3.0,8.2,5.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Rollish,,8.0,0.2,0.0,0.25,,1.0,2.5,,False,,False,False,False,True,0.0
4,4,4,000011D,3.0,8.2,5.2,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,Rollish,,8.0,0.2,2.0,1.5,,0.0,1.5,,False,,False,False,False,True,2.0
5,5,5,000003C,3.0,15.0,12.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,Rollish,,15.0,0.0,3.0,3.0,,1.0,0.5,,False,,False,False,False,True,3.0
6,6,6,001000E,4.0,8.6,4.6,0.05,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,Rollish,,8.0,0.6,0.0,0.0,,1.0,3.5,,False,,False,False,False,True,0.0
7,7,7,000101D,4.0,8.6,4.6,0.05,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,Rollish,,8.0,0.6,1.0,1.25,,0.0,2.0,,False,,False,False,False,True,1.0
8,8,8,000012C,4.0,15.0,11.0,0.14,3.0,0.0,0.0,0.0,0.0,1.0,2.0,1.3,Rollish,,15.0,0.0,3.0,2.5,,1.0,0.8,,False,,False,False,False,True,3.0
9,9,9,000004B,4.0,15.0,11.0,0.14,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Rollish,,15.0,0.0,4.0,4.0,,0.0,1.0,,False,,False,False,False,True,4.0
10,10,10,000020D,4.0,10.4,6.4,0.2,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,High,,8.0,2.4,2.0,1.0,,0.0,2.0,,False,,True,False,False,False,2.0
11,11,11,010000E,5.0,9.3,4.3,0.12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,High,,8.0,1.3,0.0,0.0,,1.0,4.5,,False,,True,False,False,False,0.0
12,12,12,000102C,5.0,15.2,10.2,0.12,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.7,Rollish,,15.0,0.2,2.0,2.25,,1.0,1.2,,False,,False,False,False,True,2.0
13,13,13,000021C,5.0,15.2,10.2,0.12,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.7,Rollish,,15.0,0.2,3.0,2.0,,1.0,1.2,,False,,False,False,False,True,3.0
14,14,14,000013B,5.0,15.2,10.2,0.12,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.3,Rollish,,15.0,0.2,4.0,3.5,,0.0,1.3,,False,,False,False,False,True,4.0
15,15,15,001001D,5.0,9.8,4.8,0.16,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.5,High,,8.0,1.8,1.0,1.0,,0.0,2.5,,False,,True,False,False,False,1.0
16,16,16,000110D,5.0,10.7,5.7,0.21,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.5,High,,8.0,2.7,1.0,0.75,,0.0,2.5,,False,,True,False,False,False,1.0
17,17,17,000005A,5.0,22.0,17.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,Rollish,,22.0,0.0,5.0,5.0,,1.0,0.5,,False,,False,False,False,True,5.0
18,18,18,001002C,6.0,15.2,9.2,0.12,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,Rollish,,15.0,0.2,2.0,2.0,,1.0,1.5,,False,,False,False,False,True,2.0
19,19,19,000111C,6.0,15.2,9.2,0.12,3.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,Rollish,,15.0,0.2,2.0,1.75,,1.0,1.5,,False,,False,False,False,True,2.0
20,20,20,000030C,6.0,15.2,9.2,0.12,3.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,Rollish,,15.0,0.2,3.0,1.5,,1.0,1.5,,False,,False,False,False,True,3.0
21,21,21,000022B,6.0,15.2,9.2,0.12,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,Rollish,,15.0,0.2,4.0,3.0,,0.0,1.5,,False,,False,False,False,True,4.0
22,22,22,000103B,6.0,15.8,9.8,0.15,4.0,0.0,0.0,0.0,1.0,0.0,3.0,1.5,Rollish,,15.0,0.8,3.0,3.25,,0.0,1.5,,False,,False,False,False,True,3.0
23,23,23,100000E,6.0,10.2,4.2,0.19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,High,,8.0,2.2,0.0,0.0,,1.0,5.5,,False,,True,False,False,False,0.0
24,24,24,000014A,6.0,22.0,16.0,0.21,5.0,0.0,0.0,0.0,0.0,1.0,4.0,1.2,Rollish,,22.0,0.0,5.0,4.5,,1.0,0.7,,False,,False,False,False,True,5.0
25,25,25,69,6.0,22.0,16.0,0.21,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Rollish,,22.0,0.0,6.0,6.0,,0.0,1.0,,False,,False,False,False,True,6.0
26,26,26,010001D,6.0,11.1,5.1,0.23,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,High,,8.0,3.1,1.0,1.0,,0.0,3.0,,False,,True,False,False,False,1.0
27,27,27,001010D,6.0,11.1,5.1,0.23,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,High,,8.0,3.1,1.0,0.5,,0.0,3.0,,False,,True,False,False,False,1.0
28,28,28,000200D,6.0,12.5,6.5,0.25,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,High,,8.0,4.5,0.0,0.5,,0.0,3.0,,False,,True,False,False,False,0.0
29,29,29,000201C,7.0,15.5,8.5,0.1,3.0,0.0,0.0,0.0,2.0,0.0,1.0,2.3,Rollish,,15.0,0.5,1.0,1.5,,1.0,1.8,,False,,False,False,False,True,1.0
30,30,30,010002C,7.0,15.5,8.5,0.1,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.3,Rollish,,15.0,0.5,2.0,2.0,,1.0,1.8,,False,,False,False,False,True,2.0
31,31,31,000112B,7.0,15.5,8.5,0.1,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.8,Rollish,,15.0,0.5,3.0,2.75,,0.0,1.8,,False,,False,False,False,True,3.0
32,32,32,001011C,7.0,15.2,8.2,0.12,3.0,0.0,0.0,1.0,0.0,1.0,1.0,2.3,Rollish,,15.0,0.2,2.0,1.5,,1.0,1.8,,False,,False,False,False,True,2.0
33,33,33,000120C,7.0,15.2,8.2,0.12,3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.3,Rollish,,15.0,0.2,2.0,1.25,,1.0,1.8,,False,,False,False,False,True,2.0
34,34,34,000031B,7.0,15.8,8.8,0.21,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.8,Medium,,15.0,0.8,4.0,2.5,,0.0,1.8,,False,,False,True,False,False,4.0
35,35,35,000104A,7.0,22.0,15.0,0.21,5.0,0.0,0.0,0.0,1.0,0.0,4.0,1.4,Rollish,,22.0,0.0,4.0,4.25,,1.0,0.9,,False,,False,False,False,True,4.0
36,36,36,000023A,7.0,22.0,15.0,0.21,5.0,0.0,0.0,0.0,0.0,2.0,3.0,1.4,Rollish,,22.0,0.0,5.0,4.0,,1.0,0.9,,False,,False,False,False,True,5.0
37,37,37,159,7.0,22.0,15.0,0.21,6.0,0.0,0.0,0.0,0.0,1.0,5.0,1.2,Rollish,,22.0,0.0,6.0,5.5,,0.0,1.2,,False,,False,False,False,True,6.0
38,38,38,001003B,7.0,16.8,9.8,0.22,4.0,0.0,0.0,1.0,0.0,0.0,3.0,1.8,Medium,,15.0,1.8,3.0,3.0,,0.0,1.8,,False,,False,True,False,False,3.0
39,39,39,100001D,7.0,13.0,6.0,0.25,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.5,High,,8.0,5.0,1.0,1.0,,0.0,3.5,,False,,True,False,False,False,1.0
40,40,40,010010D,7.0,12.0,5.0,0.26,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.5,High,,8.0,4.0,1.0,0.5,,0.0,3.5,,False,,True,False,False,False,1.0
41,41,41,001100D,7.0,12.5,5.5,0.26,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.5,High,,8.0,4.5,0.0,0.25,,0.0,3.5,,False,,True,False,False,False,0.0
42,42,42,78,7.0,29.0,22.0,0.3,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,Rollish,,29.0,0.0,7.0,7.0,,1.0,0.5,,False,,False,False,False,True,7.0
43,43,43,001101C,8.0,15.6,7.6,0.12,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.7,Rollish,,15.0,0.6,1.0,1.25,,1.0,2.2,,False,,False,False,False,True,1.0
44,44,44,010011C,8.0,15.6,7.6,0.13,3.0,0.0,1.0,0.0,0.0,1.0,1.0,2.7,Rollish,,15.0,0.6,2.0,1.5,,1.0,2.2,,False,,False,False,False,True,2.0
45,45,45,000210C,8.0,15.7,7.7,0.14,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2.7,Rollish,,15.0,0.7,1.0,1.0,,1.0,2.2,,False,,False,False,False,True,1.0
46,46,46,001020C,8.0,15.4,7.4,0.15,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.7,Rollish,,15.0,0.4,2.0,1.0,,1.0,2.2,,False,,False,False,False,True,2.0
47,47,47,100002C,8.0,15.9,7.9,0.17,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.7,Rollish,,15.0,0.9,2.0,2.0,,1.0,2.2,,False,,False,False,False,True,2.0
48,48,48,000121B,8.0,16.1,8.1,0.19,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,Rollish,,15.0,1.1,3.0,2.25,,0.0,2.0,,False,,False,False,False,True,3.0
49,49,49,001012B,8.0,16.5,8.5,0.19,4.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,Rollish,,15.0,1.5,3.0,2.5,,0.0,2.0,,False,,False,False,False,True,3.0
50,50,50,001004A,8.0,22.0,14.0,0.21,5.0,0.0,0.0,1.0,0.0,0.0,4.0,1.6,Rollish,,22.0,0.0,4.0,4.0,,1.0,1.1,,False,,False,False,False,True,4.0
51,51,51,000113A,8.0,22.0,14.0,0.21,5.0,0.0,0.0,0.0,1.0,1.0,3.0,1.6,Rollish,,22.0,0.0,4.0,3.75,,1.0,1.1,,False,,False,False,False,True,4.0
52,52,52,000032A,8.0,22.1,14.1,0.21,5.0,0.0,0.0,0.0,0.0,3.0,2.0,1.6,Rollish,,22.0,0.1,5.0,3.5,,1.0,1.1,,False,,False,False,False,True,5.0
53,53,53,249,8.0,22.1,14.1,0.21,6.0,0.0,0.0,0.0,0.0,2.0,4.0,1.3,Rollish,,22.0,0.1,6.0,5.0,,0.0,1.3,,False,,False,False,False,True,6.0
54,54,54,002000D,8.0,14.0,6.0,0.24,2.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,High,,8.0,6.0,0.0,0.0,,0.0,4.0,,False,,True,False,False,False,0.0
55,55,55,100010D,8.0,13.5,5.5,0.25,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,High,,8.0,5.5,1.0,0.5,,0.0,4.0,,False,,True,False,False,False,1.0
56,56,56,010100D,8.0,13.3,5.3,0.26,2.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,High,,8.0,5.3,0.0,0.25,,0.0,4.0,,False,,True,False,False,False,0.0
57,57,57,1059,8.0,22.6,14.6,0.26,6.0,0.0,0.0,0.0,1.0,0.0,5.0,1.3,Rollish,,22.0,0.6,5.0,5.25,,0.0,1.3,,False,,False,False,False,True,5.0
58,58,58,010003B,8.0,18.2,10.2,0.29,4.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,Medium,,15.0,3.2,3.0,3.0,,0.0,2.0,,False,,False,True,False,False,3.0
59,59,59,168,8.0,29.0,21.0,0.3,7.0,0.0,0.0,0.0,0.0,1.0,6.0,1.1,Rollish,,29.0,0.0,7.0,6.5,,1.0,0.6,,False,,False,False,False,True,7.0
60,60,60,87,8.0,29.0,21.0,0.3,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,Rollish,,29.0,0.0,8.0,8.0,,0.0,1.0,,False,,False,False,False,True,8.0
61,61,61,000202B,8.0,17.4,9.4,0.34,4.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,High,,15.0,2.4,2.0,2.5,,0.0,2.0,,False,,True,False,False,False,2.0
62,62,62,000040B,8.0,18.5,10.5,0.47,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,High,,15.0,3.5,4.0,2.0,,0.0,2.0,,False,,True,False,False,False,4.0
63,63,63,010101C,9.0,15.8,6.8,0.15,3.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,Rollish,,15.0,0.8,1.0,1.25,,1.0,2.5,,False,,False,False,False,True,1.0
64,64,64,001110C,9.0,15.8,6.8,0.16,3.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,Rollish,,15.0,0.8,1.0,0.75,,1.0,2.5,,False,,False,False,False,True,1.0
65,65,65,100011C,9.0,15.9,6.9,0.16,3.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,Rollish,,15.0,0.9,2.0,1.5,,1.0,2.5,,False,,False,False,False,True,2.0
66,66,66,002001C,9.0,16.4,7.4,0.18,3.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,Rollish,,15.0,1.4,1.0,1.0,,1.0,2.5,,False,,False,False,False,True,1.0
67,67,67,000041A,9.0,22.4,13.4,0.19,5.0,0.0,0.0,0.0,0.0,4.0,1.0,1.8,Rollish,,22.0,0.4,5.0,3.0,,1.0,1.3,,False,,False,False,False,True,5.0
68,68,68,339,9.0,22.4,13.4,0.19,6.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,Rollish,,22.0,0.4,6.0,4.5,,0.0,1.5,,False,,False,False,False,True,6.0
69,69,69,010004A,9.0,22.3,13.3,0.2,5.0,0.0,1.0,0.0,0.0,0.0,4.0,1.8,Rollish,,22.0,0.3,4.0,4.0,,1.0,1.3,,False,,False,False,False,True,4.0
70,70,70,000203A,9.0,22.4,13.4,0.2,5.0,0.0,0.0,0.0,2.0,0.0,3.0,1.8,Rollish,,22.0,0.4,3.0,3.5,,1.0,1.3,,False,,False,False,False,True,3.0
71,71,71,1149,9.0,22.4,13.4,0.2,6.0,0.0,0.0,0.0,1.0,1.0,4.0,1.5,Rollish,,22.0,0.4,5.0,4.75,,0.0,1.5,,False,,False,False,False,True,5.0
72,72,72,010020C,9.0,16.3,7.3,0.21,3.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,Medium,,15.0,1.3,2.0,1.0,,1.0,2.5,,False,,False,True,False,False,2.0
73,73,73,001013A,9.0,22.1,13.1,0.21,5.0,0.0,0.0,1.0,0.0,1.0,3.0,1.8,Rollish,,22.0,0.1,4.0,3.5,,1.0,1.3,,False,,False,False,False,True,4.0
74,74,74,000122A,9.0,22.1,13.1,0.21,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.8,Rollish,,22.0,0.1,4.0,3.25,,1.0,1.3,,False,,False,False,False,True,4.0
75,75,75,000300C,9.0,16.4,7.4,0.23,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,Medium,,15.0,1.4,0.0,0.75,,1.0,2.5,,False,,False,True,False,False,0.0
76,76,76,000211B,9.0,16.4,7.4,0.23,4.0,0.0,0.0,0.0,2.0,1.0,1.0,2.3,Medium,,15.0,1.4,2.0,2.0,,0.0,2.3,,False,,False,True,False,False,2.0
77,77,77,001021B,9.0,17.0,8.0,0.24,4.0,0.0,0.0,1.0,0.0,2.0,1.0,2.3,Medium,,15.0,2.0,3.0,2.0,,0.0,2.3,,False,,False,True,False,False,3.0
78,78,78,100100D,9.0,14.3,5.3,0.25,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.5,High,,8.0,6.3,0.0,0.25,,0.0,4.5,,False,,True,False,False,False,0.0
79,79,79,011000D,9.0,14.4,5.4,0.26,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.5,High,,8.0,6.4,0.0,0.0,,0.0,4.5,,False,,True,False,False,False,0.0
80,80,80,010012B,9.0,18.0,9.0,0.27,4.0,0.0,1.0,0.0,0.0,1.0,2.0,2.3,Medium,,15.0,3.0,3.0,2.5,,0.0,2.3,,False,,False,True,False,False,3.0
81,81,81,100003B,9.0,19.9,10.9,0.3,4.0,1.0,0.0,0.0,0.0,0.0,3.0,2.3,Medium,,15.0,4.9,3.0,3.0,,0.0,2.3,,False,,False,True,False,False,3.0
82,82,82,1068,9.0,29.0,20.0,0.3,7.0,0.0,0.0,0.0,1.0,0.0,6.0,1.3,Rollish,,29.0,0.0,6.0,6.25,,1.0,0.8,,False,,False,False,False,True,6.0
83,83,83,258,9.0,29.0,20.0,0.3,7.0,0.0,0.0,0.0,0.0,2.0,5.0,1.3,Rollish,,29.0,0.0,7.0,6.0,,1.0,0.8,,False,,False,False,False,True,7.0
84,84,84,177,9.0,29.0,20.0,0.3,8.0,0.0,0.0,0.0,0.0,1.0,7.0,1.1,Rollish,,29.0,0.0,8.0,7.5,,0.0,1.1,,False,,False,False,False,True,8.0
85,85,85,001102B,9.0,17.8,8.8,0.31,4.0,0.0,0.0,1.0,1.0,0.0,2.0,2.3,High,,15.0,2.8,2.0,2.25,,0.0,2.3,,False,,True,False,False,False,2.0
86,86,86,10059,9.0,23.6,14.6,0.33,6.0,0.0,0.0,1.0,0.0,0.0,5.0,1.5,Medium,,22.0,1.6,5.0,5.0,,0.0,1.5,,False,,False,True,False,False,5.0
87,87,87,96,9.0,36.0,27.0,0.39,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,Rollish,,36.0,0.0,9.0,9.0,,1.0,0.5,,False,,False,False,False,True,9.0
88,88,88,000130B,9.0,18.7,9.7,0.43,4.0,0.0,0.0,0.0,1.0,3.0,0.0,2.3,High,,15.0,3.7,3.0,1.75,,0.0,2.3,,False,,True,False,False,False,3.0
89,89,89,011001C,10.0,16.3,6.3,0.17,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.3,Rollish,,15.0,1.3,1.0,1.0,,1.0,2.8,,False,,False,False,False,True,1.0
90,90,90,1239,10.0,22.6,12.6,0.18,6.0,0.0,0.0,0.0,1.0,2.0,3.0,1.7,Rollish,,22.0,0.6,5.0,4.25,,0.0,1.7,,False,,False,False,False,True,5.0
91,91,91,002010C,10.0,16.6,6.6,0.19,3.0,0.0,0.0,2.0,0.0,1.0,0.0,3.3,Rollish,,15.0,1.6,1.0,0.5,,1.0,2.8,,False,,False,False,False,True,1.0
92,92,92,010013A,10.0,22.3,12.3,0.19,5.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,Rollish,,22.0,0.3,4.0,3.5,,1.0,1.5,,False,,False,False,False,True,4.0
93,93,93,001103A,10.0,22.4,12.4,0.19,5.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,Rollish,,22.0,0.4,3.0,3.25,,1.0,1.5,,False,,False,False,False,True,3.0
94,94,94,000212A,10.0,22.4,12.4,0.19,5.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,Rollish,,22.0,0.4,3.0,3.0,,1.0,1.5,,False,,False,False,False,True,3.0
95,95,95,000131A,10.0,22.4,12.4,0.19,5.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,Rollish,,22.0,0.4,4.0,2.75,,1.0,1.5,,False,,False,False,False,True,4.0
96,96,96,010110C,10.0,16.2,6.2,0.2,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.3,Medium,,15.0,1.2,1.0,0.75,,1.0,2.8,,False,,False,True,False,False,1.0
97,97,97,100101C,10.0,16.1,6.1,0.2,3.0,1.0,0.0,0.0,1.0,0.0,1.0,3.3,Medium,,15.0,1.1,1.0,1.25,,1.0,2.8,,False,,False,True,False,False,1.0
98,98,98,001022A,10.0,22.2,12.2,0.2,5.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,Rollish,,22.0,0.2,4.0,3.0,,1.0,1.5,,False,,False,False,False,True,4.0
99,99,99,001111B,10.0,16.7,6.7,0.21,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.5,Medium,,15.0,1.7,2.0,1.75,,0.0,2.5,,False,,False,True,False,False,2.0
100,100,100,000050A,10.0,22.6,12.6,0.22,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,Rollish,,22.0,0.6,5.0,2.5,,1.0,1.5,,False,,False,False,False,True,5.0
101,101,101,429,10.0,22.6,12.6,0.22,6.0,0.0,0.0,0.0,0.0,4.0,2.0,1.7,Rollish,,22.0,0.6,6.0,4.0,,0.0,1.7,,False,,False,False,False,True,6.0
102,102,102,020000D,10.0,15.6,5.6,0.24,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,High,,8.0,7.6,0.0,0.0,,0.0,5.0,,False,,True,False,False,False,0.0
103,103,103,001200C,10.0,16.5,6.5,0.24,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.3,Medium,,15.0,1.5,0.0,0.5,,1.0,2.8,,False,,False,True,False,False,0.0
104,104,104,100004A,10.0,22.8,12.8,0.26,5.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,Rollish,,22.0,0.8,4.0,4.0,,1.0,1.5,,False,,False,False,False,True,4.0
105,105,105,101000D,10.0,15.1,5.1,0.27,2.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,High,,8.0,7.1,0.0,0.0,,0.0,5.0,,False,,True,False,False,False,0.0
106,106,106,10149,10.0,23.4,13.4,0.29,6.0,0.0,0.0,1.0,0.0,1.0,4.0,1.7,Rollish,,22.0,1.4,5.0,4.5,,0.0,1.7,,False,,False,False,False,True,5.0
107,107,107,100020C,10.0,17.0,7.0,0.3,3.0,1.0,0.0,0.0,0.0,2.0,0.0,3.3,High,,15.0,2.0,2.0,1.0,,1.0,2.8,,False,,True,False,False,False,2.0
108,108,108,010021B,10.0,18.4,8.4,0.3,4.0,0.0,1.0,0.0,0.0,2.0,1.0,2.5,Medium,,15.0,3.4,3.0,2.0,,0.0,2.5,,False,,False,True,False,False,3.0
109,109,109,100012B,10.0,19.9,9.9,0.3,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2.5,Medium,,15.0,4.9,3.0,2.5,,0.0,2.5,,False,,False,True,False,False,3.0
110,110,110,10068,10.0,29.0,19.0,0.3,7.0,0.0,0.0,1.0,0.0,0.0,6.0,1.4,Rollish,,29.0,0.0,6.0,6.0,,1.0,0.9,,False,,False,False,False,True,6.0
111,111,111,1158,10.0,29.0,19.0,0.3,7.0,0.0,0.0,0.0,1.0,1.0,5.0,1.4,Rollish,,29.0,0.0,6.0,5.75,,1.0,0.9,,False,,False,False,False,True,6.0
112,112,112,348,10.0,29.0,19.0,0.3,7.0,0.0,0.0,0.0,0.0,3.0,4.0,1.4,Rollish,,29.0,0.0,7.0,5.5,,1.0,0.9,,False,,False,False,False,True,7.0
113,113,113,267,10.0,29.0,19.0,0.3,8.0,0.0,0.0,0.0,0.0,2.0,6.0,1.3,Rollish,,29.0,0.0,8.0,7.0,,0.0,1.3,,False,,False,False,False,True,8.0
114,114,114,010102B,10.0,19.1,9.1,0.33,4.0,0.0,1.0,0.0,1.0,0.0,2.0,2.5,High,,15.0,4.1,2.0,2.25,,0.0,2.5,,False,,True,False,False,False,2.0
115,115,115,1077,10.0,29.6,19.6,0.34,8.0,0.0,0.0,0.0,1.0,0.0,7.0,1.3,Rollish,,29.0,0.6,7.0,7.25,,0.0,1.3,,False,,False,False,False,True,7.0
116,116,116,186,10.0,36.0,26.0,0.39,9.0,0.0,0.0,0.0,0.0,1.0,8.0,1.1,Rollish,,36.0,0.0,9.0,8.5,,1.0,0.6,,False,,False,False,False,True,9.0
117,117,117,00000A5,10.0,36.0,26.0,0.39,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,Rollish,,36.0,0.0,10.0,10.0,,0.0,1.0,,False,,False,False,False,True,10.0
118,118,118,001030B,10.0,19.2,9.2,0.4,4.0,0.0,0.0,1.0,0.0,3.0,0.0,2.5,High,,15.0,4.2,3.0,1.5,,0.0,2.5,,False,,True,False,False,False,3.0
119,119,119,002002B,10.0,19.4,9.4,0.4,4.0,0.0,0.0,2.0,0.0,0.0,2.0,2.5,High,,15.0,4.4,2.0,2.0,,0.0,2.5,,False,,True,False,False,False,2.0
120,120,120,100059,10.0,25.0,15.0,0.4,6.0,0.0,1.0,0.0,0.0,0.0,5.0,1.7,Medium,,22.0,3.0,5.0,5.0,,0.0,1.7,,False,,False,True,False,False,5.0
121,121,121,2049,10.0,24.5,14.5,0.41,6.0,0.0,0.0,0.0,2.0,0.0,4.0,1.7,Medium,,22.0,2.5,4.0,4.5,,0.0,1.7,,False,,False,True,False,False,4.0
122,122,122,000301B,10.0,18.8,8.8,0.43,4.0,0.0,0.0,0.0,3.0,0.0,1.0,2.5,High,,15.0,3.8,1.0,1.75,,0.0,2.5,,False,,True,False,False,False,1.0
123,123,123,000220B,10.0,18.8,8.8,0.43,4.0,0.0,0.0,0.0,2.0,2.0,0.0,2.5,High,,15.0,3.8,2.0,1.5,,0.0,2.5,,False,,True,False,False,False,2.0
124,124,124,000221A,11.0,22.6,11.6,0.18,5.0,0.0,0.0,0.0,2.0,2.0,1.0,2.2,Rollish,,22.0,0.6,3.0,2.5,,1.0,1.7,,False,,False,False,False,True,3.0
125,125,125,001112A,11.0,22.4,11.4,0.19,5.0,0.0,0.0,1.0,1.0,1.0,2.0,2.2,Rollish,,22.0,0.4,3.0,2.75,,1.0,1.7,,False,,False,False,False,True,3.0
126,126,126,001031A,11.0,22.4,11.4,0.2,5.0,0.0,0.0,1.0,0.0,3.0,1.0,2.2,Rollish,,22.0,0.4,4.0,2.5,,1.0,1.7,,False,,False,False,False,True,4.0
127,127,127,010022A,11.0,22.5,11.5,0.2,5.0,0.0,1.0,0.0,0.0,2.0,2.0,2.2,Rollish,,22.0,0.5,4.0,3.0,,1.0,1.7,,False,,False,False,False,True,4.0
128,128,128,000302A,11.0,22.9,11.9,0.21,5.0,0.0,0.0,0.0,3.0,0.0,2.0,2.2,Rollish,,22.0,0.9,2.0,2.75,,1.0,1.7,,False,,False,False,False,True,2.0
129,129,129,1329,11.0,22.8,11.8,0.21,6.0,0.0,0.0,0.0,1.0,3.0,2.0,1.8,Rollish,,22.0,0.8,5.0,3.75,,0.0,1.8,,False,,False,False,False,True,5.0
130,130,130,2139,11.0,22.9,11.9,0.21,6.0,0.0,0.0,0.0,2.0,1.0,3.0,1.8,Rollish,,22.0,0.9,4.0,4.0,,0.0,1.8,,False,,False,False,False,True,4.0
131,131,131,010103A,11.0,22.6,11.6,0.22,5.0,0.0,1.0,0.0,1.0,0.0,3.0,2.2,Rollish,,22.0,0.6,3.0,3.25,,1.0,1.7,,False,,False,False,False,True,3.0
132,132,132,000140A,11.0,22.6,11.6,0.22,5.0,0.0,0.0,0.0,1.0,4.0,0.0,2.2,Rollish,,22.0,0.6,4.0,2.25,,1.0,1.7,,False,,False,False,False,True,4.0
